city,state,lat,lon,timestamp,pm2_5,pm10,no2,o3,so2,co,aqi_category
Malegaon,Maharashtra,20.5579,74.5089,2025-11-23T14:00,21.7,22.4,1.4,144.0,7.9,287.0,Good
Gaya,Bihar,24.7914,85.0002,2025-11-23T14:00,102.7,110.8,2.0,170.0,18.2,441.0,Poor
Jalgaon,Maharashtra,21.0077,75.5626,2025-11-23T14:00,33.2,33.6,3.8,174.0,35.7,329.0,Satisfactory
Udaipur,Rajasthan,24.5854,73.7125,2025-11-23T14:00,48.8,53.7,1.3,146.0,14.6,335.0,Satisfactory
Maheshtala,West Bengal,22.5111,88.2565,2025-11-23T14:00,69.6,73.8,5.2,236.0,28.1,526.0,Moderate
Davanagere,Karnataka,14.4644,75.9218,2025-11-23T14:00,6.4,7.2,1.1,86.0,1.1,188.0,Good
Kozhikode,Kerala,11.2588,75.7804,2025-11-23T14:00,16.9,17.5,1.8,147.0,4.3,288.0,Good
Kurnool,Andhra Pradesh,15.8281,78.0373,2025-11-23T14:00,11.1,12.6,1.0,97.0,3.0,219.0,Good
Rajpur Sonarpur,West Bengal,22.4383,88.432,2025-11-23T14:00,69.6,73.8,5.2,236.0,28.1,487.0,Moderate
Rajahmundry,Andhra Pradesh,16.9891,81.7832,2025-11-23T14:00,20.3,21.7,2.5,137.0,8.1,283.0,Good
Bokaro,Jharkhand,23.6693,86.1511,2025-11-23T14:00,92.0,99.2,29.1,160.0,86.9,410.0,Poor
South Dumdum,West Bengal,22.6168,88.3998,2025-11-23T14:00,68.7,72.9,5.9,212.0,27.7,459.0,Moderate
Bellary,Karnataka,15.1394,76.9214,2025-11-23T14:00,10.0,11.2,4.1,99.0,8.2,198.0,Good
Patiala,Punjab,30.3398,76.3869,2025-11-23T14:00,65.4,68.2,4.2,191.0,26.9,571.0,Moderate
Gopalpur,West Bengal,22.1667,88.1667,2025-11-23T14:00,86.1,91.3,3.7,224.0,40.5,477.0,Moderate
Agartala,Tripura,23.8315,91.2868,2025-11-23T14:00,28.3,29.7,5.3,172.0,3.3,345.0,Good
Bhagalpur,Bihar,25.2425,87.0117,2025-11-23T14:00,79.2,85.0,3.9,174.0,21.4,388.0,Moderate
Muzaffarnagar,Uttar Pradesh,29.4727,77.7085,2025-11-23T14:00,76.4,79.6,4.5,185.0,29.6,612.0,Moderate
Bhatpara,West Bengal,22.8667,88.4167,2025-11-23T14:00,68.7,72.9,5.9,212.0,27.7,445.0,Moderate
Panihati,West Bengal,22.693,88.371,2025-11-23T14:00,68.7,72.9,5.9,212.0,27.7,434.0,Moderate
Latur,Maharashtra,18.4088,76.5604,2025-11-23T14:00,16.1,16.7,1.1,135.0,6.4,260.0,Good
Dhule,Maharashtra,20.9042,74.7749,2025-11-23T14:00,25.2,25.8,1.6,144.0,9.4,333.0,Good
Tirupati,Andhra Pradesh,13.6288,79.4192,2025-11-23T14:00,3.3,4.3,1.4,78.0,0.6,203.0,Good
Rohtak,Haryana,28.8955,76.6066,2025-11-23T14:00,96.6,99.0,3.9,199.0,30.3,557.0,Poor
Korba,Chhattisgarh,22.3569,82.6807,2025-11-23T14:00,51.8,54.5,16.1,152.0,67.0,331.0,Satisfactory
Bhilwara,Rajasthan,25.3407,74.6313,2025-11-23T14:00,59.0,64.0,1.6,160.0,23.0,357.0,Satisfactory
Berhampur,Odisha,19.315,84.7941,2025-11-23T14:00,36.1,38.1,1.0,138.0,6.8,359.0,Satisfactory
Muzaffarpur,Bihar,26.1209,85.3647,2025-11-23T14:00,86.6,94.5,2.8,166.0,20.1,474.0,Moderate
Ahmednagar,Maharashtra,19.0952,74.7496,2025-11-23T14:00,15.1,16.0,1.2,128.0,4.3,263.0,Good
Mathura,Uttar Pradesh,27.4924,77.6737,2025-11-23T14:00,95.0,100.4,4.1,197.0,31.4,545.0,Poor
Kollam,Kerala,8.8932,76.6141,2025-11-23T14:00,7.3,8.1,3.7,89.0,2.5,228.0,Good
Avadi,Tamil Nadu,13.1075,80.0972,2025-11-23T14:00,5.7,6.4,6.3,78.0,12.1,243.0,Good
Kadapa,Andhra Pradesh,14.4673,78.8242,2025-11-23T14:00,3.7,4.2,1.9,79.0,3.3,184.0,Good
Kamarhati,West Bengal,22.6674,88.3704,2025-11-23T14:00,68.7,72.9,5.9,212.0,27.7,434.0,Moderate
Sambalpur,Odisha,21.4669,83.9812,2025-11-23T14:00,53.9,55.6,3.5,185.0,42.1,287.0,Satisfactory
Bilaspur,Chhattisgarh,22.0797,82.1409,2025-11-23T14:00,47.8,50.3,9.3,161.0,47.7,385.0,Satisfactory
Shahjahanpur,Uttar Pradesh,27.8814,79.9123,2025-11-23T14:00,76.6,80.3,8.7,166.0,40.8,496.0,Moderate
Satara,Maharashtra,17.6805,74.0183,2025-11-23T14:00,19.3,20.6,1.6,126.0,3.9,282.0,Good
Bijapur,Karnataka,16.8302,75.71,2025-11-23T14:00,12.7,14.5,1.6,141.0,3.7,217.0,Good
Kakinada,Andhra Pradesh,16.9891,82.2475,2025-11-23T14:00,22.0,26.1,1.9,145.0,3.9,294.0,Good
Rampur,Uttar Pradesh,28.8154,79.025,2025-11-23T14:00,74.0,77.3,4.6,187.0,33.4,589.0,Moderate
Shimoga,Karnataka,13.9299,75.5681,2025-11-23T14:00,5.0,6.3,1.2,87.0,1.2,196.0,Good
Chandrapur,Maharashtra,19.9615,79.2961,2025-11-23T14:00,30.2,30.6,10.2,181.0,14.1,330.0,Satisfactory
Junagadh,Gujarat,21.5222,70.4579,2025-11-23T14:00,26.3,28.5,1.3,140.0,7.9,314.0,Good
Thrissur,Kerala,10.5276,76.2144,2025-11-23T14:00,9.4,9.7,2.2,98.0,3.7,254.0,Good
